Designator,Footprint,Quantity,Value,LCSC Part #
100K1,0603,1,R,
"C1, C2",C_0805,2,100nF,C28233
"C10, C18, C29",0805,3,22uF,
"C11, C15, C27, C30, C7, C8, C9",C_0402,7,100n,C1525
"C12, C25",C_0805,2,10u,C15850
C13,0805,1,100n,
"C14, C16",C_0805,2,1u,C28323
"C17, C19",C_0805,2,1uF,C28323
C20,0805,1,1uF,
"C21, C28",CAPAE1030X1050N,2,865060657011,
"C22, C23, C24",0805,3,47uF,
"C26, C33",C_0805,2,"0,1uF",C28323
"C3, C6",C_0402,2,10p,C32949
"C31, C32",C_0805,2,10uF,C15850
"C34, C35",0805,2,22u,
C4,0805,1,4.7uF,
C5,0805,1,10u,
"D1, D8",1206,2,BLUE,
"D10, D9",D_SMA,2,SMAJ5.0CA,
D2,1206,1,RED,
D3,D_SOD-323,1,SD24_SOD323,
D4,D_SOD-323,1,SZMM3Z10VST1G,
"D5, D6, D7",D_SMA,3,SS14,
F1,2920,1,Polyfuse,
FB1,0603,1,120R,
IC1,QFN50P300X400X80-21N,1,TPS25810RVCR,
IC2,SOT95P280X145-6N,1,TPS2514ADBVT,
J1,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,Conn_01x02_Pin,
J10,USB_A_TE_292303-7_Horizontal,1,USB_A,
J11,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",1,Conn_01x04_Pin,
J12,"TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",1,Conn_01x04_Pin,
"J13, J14, J15, J3, J4, J5, J6",PinSocket_1x04_P2.54mm_Vertical,7,Conn_01x04_Pin,
J16,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J17,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,Battery with BMS Input,
J2,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,DCJ200-10-A-XX-K_REVA,
"J7, J8",PinSocket_1x10_P2.54mm_Vertical,2,Conn_01x10_Pin,
J9,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
L1,L_Pulse_PA4320,1,150uH,
Q1,SOT95P237X112-3N,1,IRLML6402TRPBF,
"Q2, Q3",TO-220-3_Vertical,2,IRLZ44N,
"R1, R12, R25, R5",0805,4,10k,
"R10, R11, R7, R8, R9",R_0805,5,0,C17477
R13,0805,1,9k1,
"R14, R22",0805,2,1k,
"R15, R19, R20, R21",0402,4,100k,
R16,0805,1,20k,
"R17, R18",0805,2,22,
"R2, R4",0805,2,1k5,
R23,1206,1,50m,
R24,0805,1,27k,
R3,0805,1,47,
R6,0805,1,100R,
SW1,SW_PUSH-12mm_Wuerth-430476085716,1,SW_Push,
SW2,SLW12768644AD,1,SW_SPDT,
U1,SOT-23-5,1,TLV70233_SOT23-5,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U3,WSON-10-1EP_4x4mm_P0.8mm_EP2.6x3mm_ThermalVias,1,LM5106SD,
U4,SOT-23-5,1,INA180A1,
Y1,LFXTAL071744Reel,1,16MHz,
