Designator,Mid X,Mid Y,Rotation,Layer
100K1,201.5,-111.5,0.0,top
C1,146.5,-115.5,270.0,top
C10,164.6375,-97.55,90.0,top
C11,166.795,-81.4875,180.0,top
C12,157.0,-84.5,0.0,top
C13,134.0,-87.52,270.0,top
C14,157.0,-82.0,0.0,top
C15,157.0,-77.0,270.0,top
C16,159.0,-88.5,0.0,top
C17,124.5,-54.0,0.0,top
C18,124.5,-50.0,0.0,top
C19,139.5,-59.0,270.0,top
C2,136.5,-104.0,180.0,top
C20,150.0,-58.0,270.0,top
C21,136.0,-48.8,270.0,top
C22,189.25,-103.45,270.0,top
C23,191.75,-103.45,270.0,top
C24,194.25,-103.45,270.0,top
C25,195.25,-109.95,270.0,top
C26,195.25,-106.45,180.0,top
C27,197.25,-108.95,270.0,top
C28,186.5,-46.5,270.0,top
C29,194.5,-43.0,270.0,top
C3,156.795,-72.4875,90.0,top
C30,202.0,-45.5,270.0,top
C31,201.5,-94.5,0.0,top
C32,210.0,-106.0,90.0,top
C33,191.9625,-91.0,180.0,top
C34,157.0,-38.0,0.0,top
C35,183.5,-115.5,180.0,top
C4,174.5,-97.5,0.0,top
C5,161.795,-67.4875,0.0,top
C6,156.795,-74.9875,90.0,top
C7,159.5,-71.0,90.0,top
C8,170.0,-72.5,270.0,top
C9,161.795,-69.4875,0.0,top
D1,175.0,-86.0,180.0,top
D10,197.5,-91.5,270.0,top
D2,157.5,-98.5,0.0,top
D3,144.0,-75.0,180.0,top
D4,139.0,-65.5,0.0,top
D5,144.5,-58.0,180.0,top
D6,147.5,-51.0,90.0,top
D7,159.0,-51.0,90.0,top
D8,204.2375,-34.0,180.0,top
D9,197.5,-84.0,90.0,top
F1,141.5,-83.0,90.0,top
FB1,157.0,-86.5,0.0,top
IC1,200.0,-107.5,0.0,top
IC2,193.3,-87.57,270.0,top
J1,126.5,-82.0,270.0,top
J10,212.0,-90.5,90.0,top
J11,153.75,-33.0,180.0,top
J12,187.5,-121.5,0.0,top
J13,170.23,-91.5,270.0,top
J14,211.73,-119.0,90.0,top
J15,171.49,-33.025,270.0,top
J16,214.525,-53.0,270.0,top
J17,214.0,-40.0,90.0,top
J2,127.15,-69.25,270.0,top
J3,186.5,-70.27,180.0,top
J4,160.23,-124.5,90.0,top
J5,186.5,-84.27,0.0,top
J6,193.025,-76.51,0.0,top
J7,203.0,-70.27,0.0,top
J8,180.43,-58.5,90.0,top
J9,216.0,-109.0,90.0,top
L1,172.5,-46.0,0.0,top
Q1,138.0,-70.5,270.0,top
Q2,148.0,-45.45,0.0,top
Q3,159.5,-45.45,0.0,top
R1,153.0,-79.0,270.0,top
R10,177.5,-63.5,90.0,top
R11,181.0,-63.5,90.0,top
R12,144.0,-67.0,0.0,top
R13,124.5,-46.0,180.0,top
R14,128.5,-47.0,90.0,top
R15,159.5,-59.5,180.0,top
R16,159.5,-61.5,0.0,top
R17,144.0,-49.5,90.0,top
R18,155.0,-49.5,90.0,top
R19,201.25,-102.95,90.0,top
R2,159.0,-120.5,270.0,top
R20,199.75,-102.95,90.0,top
R21,198.25,-102.95,90.0,top
R22,198.25,-34.0,180.0,top
R23,199.0,-42.0,0.0,top
R24,204.5,-49.0,90.0,top
R25,204.5,-53.5,90.0,top
R3,170.0,-86.0,180.0,top
R4,161.5,-120.5,270.0,top
R5,165.0,-67.5,270.0,top
R6,156.0,-102.0,270.0,top
R7,167.5,-63.5,90.0,top
R8,171.0,-63.5,90.0,top
R9,174.0,-63.5,90.0,top
SW1,136.25,-115.5375,180.0,top
SW2,136.5,-98.0,0.0,top
U1,168.1375,-97.55,0.0,top
U2,164.0,-75.5,270.0,top
U3,154.49,-58.25,0.0,top
U4,199.0,-46.0,180.0,top
Y1,153.495,-73.8875,270.0,top
